date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:27	177106/177106	---M-Z	200	added ('OK')	text/html	etag:%222b3d2-5f56f3477e180-gzip%22	https://w3crm.dexignzone.com/xhtml/index.html	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/index.html	(from )
19:47:27	238/238	---M--	302	error ('Found')	text/html	date:Thu,%2002%20Mar%202023%2012:47:26%20GMT	https://w3crm.dexignzone.com/robots.txt		(from )
19:47:28	3295/3295	---M--	200	added ('OK')	image/png	etag:%22cdf-5f546861b3880%22	https://w3crm.dexignzone.com/xhtml/images/favicon.png	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/images/favicon.png	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:28	87421/87421	---M--	200	added ('OK')	image/png	etag:%221557d-5f5208c783500%22	https://w3crm.dexignzone.com/xhtml/social-image.png	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/social-image.png	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:28	11120/11120	---M--	200	added ('OK')	text/css	etag:%222b70-5a3845e615180%22	https://w3crm.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:28	5696/5696	---M--	200	added ('OK')	text/css	etag:%221640-5df4844c5b400%22	https://w3crm.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:28	4294/4294	---M-Z	200	added ('OK')	text/css	etag:%2260533520-10c6%22	https://cdnjs.cloudflare.com/ajax/libs/noUiSlider/14.6.4/nouislider.min.css	D:/hack/New%20folder/ta/cdnjs.cloudflare.com/ajax/libs/noUiSlider/14.6.4/nouislider.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:29	13901/13901	---M--	200	added ('OK')	text/css	etag:%22364d-5f39f0b63e900%22	https://w3crm.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:29	6635/6635	---M--	200	added ('OK')	text/css	etag:%2219eb-59e47d6f80b80%22	https://w3crm.dexignzone.com/xhtml/vendor/jvmap/jquery-jvectormap.css	D:/hack/New%20folder/ta/w3crm.dexignzone.com/xhtml/vendor/jvmap/jquery-jvectormap.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
19:47:40	10058/10058	---M-Z	200	added ('OK')	text/css	etag:%2212e11f2-274a-5ed32f568b8c8-gzip%22	https://cdn.datatables.net/buttons/1.6.4/css/buttons.dataTables.min.css	D:/hack/New%20folder/ta/cdn.datatables.net/buttons/1.6.4/css/buttons.dataTables.min.css	(from https://w3crm.dexignzone.com/xhtml/index.html)
